timestamp,GHI,temperature,cloud_cover,humidity,wind_speed,hour_of_day,day_of_year,kWh_output
2025-04-01 00:00:00,0.0,24.8,95,97,9.0,0,91,0.0
2025-04-01 01:00:00,0.0,24.8,100,95,11.2,1,91,0.0
2025-04-01 02:00:00,0.0,24.4,100,96,11.0,2,91,0.0
2025-04-01 03:00:00,0.0,24.1,100,96,8.5,3,91,0.0
2025-04-01 04:00:00,0.0,23.9,96,96,7.6,4,91,0.0
2025-04-01 05:00:00,0.0,23.8,91,97,5.9,5,91,0.0
2025-04-01 06:00:00,0.0,23.4,63,98,4.7,6,91,0.0
2025-04-01 07:00:00,0.0,23.2,82,99,3.7,7,91,0.0
2025-04-01 08:00:00,53.0,24.4,73,97,4.6,8,91,206.95396720674142
2025-04-01 09:00:00,257.0,26.5,77,87,2.4,9,91,785.3194623619179
2025-04-01 10:00:00,499.0,28.6,95,77,3.9,10,91,924.4135574027046
2025-04-01 11:00:00,712.0,30.3,95,67,7.8,11,91,497.18526614161857
2025-04-01 12:00:00,868.0,31.5,91,61,7.6,12,91,345.7642416104718
2025-04-01 13:00:00,940.0,32.2,100,59,8.8,13,91,305.64476470619275
2025-04-01 14:00:00,945.0,32.7,100,58,8.4,14,91,350.2514505384774
2025-04-01 15:00:00,826.0,32.0,100,60,5.4,15,91,549.3123051729946
2025-04-01 16:00:00,662.0,32.3,100,59,2.2,16,91,641.7708268686443
2025-04-01 17:00:00,498.0,29.9,85,71,3.6,17,91,644.5599289724055
2025-04-01 18:00:00,265.0,29.6,27,72,2.6,18,91,480.5076299985671
2025-04-01 19:00:00,89.0,28.1,45,80,5.1,19,91,178.28736544079473
2025-04-01 20:00:00,1.0,25.8,58,94,1.9,20,91,4.637261323004961
2025-04-01 21:00:00,0.0,26.5,100,94,8.7,21,91,0.0
2025-04-01 22:00:00,0.0,25.5,99,92,10.5,22,91,0.0
2025-04-01 23:00:00,0.0,24.9,100,89,9.7,23,91,0.0
2025-04-02 00:00:00,0.0,24.0,100,94,4.4,0,92,0.0
2025-04-02 01:00:00,0.0,23.6,96,100,6.9,1,92,0.0
2025-04-02 02:00:00,0.0,23.5,97,100,6.4,2,92,0.0
2025-04-02 03:00:00,0.0,23.4,100,100,9.4,3,92,0.0
2025-04-02 04:00:00,0.0,23.2,99,99,7.9,4,92,0.0
2025-04-02 05:00:00,0.0,22.9,83,100,3.4,5,92,0.0
2025-04-02 06:00:00,0.0,22.6,99,100,3.8,6,92,0.0
2025-04-02 07:00:00,0.0,22.6,98,100,0.9,7,92,0.0
2025-04-02 08:00:00,53.0,23.9,42,98,4.2,8,92,209.81886314743522
2025-04-02 09:00:00,233.0,25.0,57,91,7.9,9,92,741.0222256548006
2025-04-02 10:00:00,516.0,27.5,43,80,7.4,10,92,922.0010554367503
2025-04-02 11:00:00,633.0,29.3,21,69,9.8,11,92,777.630203830247
2025-04-02 12:00:00,874.0,30.9,60,61,7.6,12,92,354.05673919730054
2025-04-02 13:00:00,742.0,31.5,100,56,9.7,13,92,865.1166495914393
2025-04-02 14:00:00,622.0,31.4,100,56,9.3,14,92,1548.5547812000893
2025-04-02 15:00:00,620.0,31.5,27,57,8.1,15,92,1730.2649775658906
2025-04-02 16:00:00,700.0,31.5,36,58,8.3,16,92,471.6818797576019
2025-04-02 17:00:00,485.0,30.9,35,61,7.7,17,92,413.74582041354023
2025-04-02 18:00:00,300.0,29.5,33,70,6.5,18,92,377.815709290036
2025-04-02 19:00:00,101.0,27.1,68,82,5.6,19,92,182.33178988480174
2025-04-02 20:00:00,1.0,25.5,66,91,12.1,20,92,4.643074327153134
2025-04-02 21:00:00,0.0,24.5,100,99,8.9,21,92,0.0
2025-04-02 22:00:00,0.0,24.1,99,99,2.3,22,92,0.0
2025-04-02 23:00:00,0.0,23.6,100,100,8.9,23,92,0.0
2025-04-03 00:00:00,0.0,23.4,100,100,5.3,0,93,0.0
2025-04-03 01:00:00,0.0,23.2,100,100,5.8,1,93,0.0
2025-04-03 02:00:00,0.0,23.1,100,100,5.4,2,93,0.0
